"buyer_gender","color","make","new_car","purchase_date","buyer_age","discount","sale_price"
"Male","Maroon","Toyota","Yes","30/03/2021",45,0.08,55842
"Agender","Aquamarine","BMW","Yes","05/11/2021",24,0.46,33084
"Male","Maroon","Chevrolet","Yes","25/09/2021",34,0.17,59488
"Male","Red","Ford","No","04/02/2021",57,0.06,66418
"Male","Purple","Mitsubishi","Yes","16/10/2021",45,0.49,69182
"Male","Aquamarine","Lotus","No","20/11/2021",22,0.14,29791
"Female","Goldenrod","GMC","Yes","31/08/2021",29,0.13,47473
"Female","Orange","Dodge","Yes","25/04/2021",42,0.01,65155
"Male","Violet","Ford","No","28/07/2021",56,0.36,37401
"Female","Aquamarine","Mitsubishi","Yes","14/09/2021",39,0.02,15469
"Male","Indigo","Chevrolet","No","29/11/2021",28,0.16,48196
"Female","Crimson","Mercedes-Benz","No","13/11/2021",30,0.12,50068
"Male","Yellow","Plymouth","Yes","31/05/2021",20,0.45,13267
"Female","Indigo","Mitsubishi","No","08/06/2021",30,0.37,65627
"Male","Purple","Land Rover","Yes","12/07/2021",64,0.47,16768
"Male","Goldenrod","Chevrolet","Yes","25/02/2021",45,0.14,54618
"Female","Violet","Ford","Yes","29/05/2021",21,0.37,54170
"Male","Crimson","Oldsmobile","No","19/09/2021",25,0.33,53328
"Male","Green","Volkswagen","Yes","11/01/2021",35,0.08,43585
"Male","Blue","Buick","No","11/10/2021",38,0.39,34920
"Male","Indigo","Bentley","No","10/03/2021",47,0.26,20512
"Male","Maroon","Acura","Yes","09/01/2021",40,0.18,74992
"Female","Green","Chevrolet","Yes","28/05/2021",44,0.13,40911
"Female","Mauv","Lincoln","Yes","01/11/2021",20,0.25,32051
"Female","Khaki","Subaru","Yes","16/10/2021",55,0.11,27568
"Male","Maroon","Mazda","Yes","03/09/2021",45,0.46,69463
"Other","Orange","Mercury","Yes","25/04/2021",35,0.03,69482
"Male","Red","Studebaker","No","17/10/2021",35,0.12,39502
"Male","Violet","Toyota","Yes","17/02/2021",29,0.05,70865
"Male","Teal","Mitsubishi","No","09/07/2021",26,0.3,40774
"Male","Green","Chrysler","Yes","02/01/2021",43,0.31,68495
"Genderqueer","Pink","BMW","Yes","11/10/2021",27,0.34,71153
"Male","Puce","Mercury","No","02/02/2021",56,0.18,53990
"Female","Red","Mercury","No","19/02/2021",57,0.2,49951
"Female","Violet","Lexus","Yes","16/03/2021",32,0.45,14516
"Male","Turquoise","Mercedes-Benz","No","29/07/2021",54,0.34,16318
"Male","Pink","Toyota","Yes","10/02/2021",25,0.08,72300
"Male","Crimson","Ford","Yes","01/10/2021",32,0.38,67468
"Male","Green","GMC","Yes","01/09/2021",62,0.18,19554
"Polygender","Puce","Ford","No","14/11/2021",48,0.24,30000
"Female","Violet","Chevrolet","No","10/05/2021",28,0.19,30807
"Male","Fuscia","Toyota","Yes","02/07/2021",61,0.19,41619
"Female","Khaki","Ford","No","25/11/2021",43,0.36,35469
"Male","Blue","Plymouth","Yes","05/05/2021",22,0.06,31463
"Male","Yellow","Mitsubishi","No","29/08/2021",23,0.36,44240
"Male","Maroon","BMW","No","03/03/2021",21,0.33,36223
"Male","Aquamarine","Subaru","Yes","18/02/2021",58,0.04,14053
"Female","Khaki","Mitsubishi","No","18/02/2021",22,0.37,12238
"Male","Pink","BMW","No","17/12/2021",24,0.02,66452
"Male","Aquamarine","Chevrolet","Yes","17/11/2021",23,0.2,21362
"Female","Indigo","Chevrolet","Yes","17/04/2021",48,0.34,30275
"Male","Blue","Mitsubishi","Yes","18/02/2021",57,0.49,60691
"Polygender","Violet","Cadillac","Yes","13/05/2021",36,0.09,50055
"Female","Mauv","Lexus","Yes","03/09/2021",24,0.17,18861
"Female","Turquoise","Chevrolet","No","08/10/2021",43,0.19,19631
"Female","Indigo","Volkswagen","Yes","08/05/2021",49,0.06,22301
"Female","Aquamarine","Audi","Yes","03/01/2021",62,0.42,28208
"Agender","Goldenrod","GMC","Yes","24/05/2021",52,0.22,55101
"Other","Khaki","Nissan","No","05/01/2021",53,0.02,56004
"Male","Mauv","Audi","Yes","22/04/2021",48,0.23,23160
"Male","Green","Nissan","No","17/09/2021",29,0.36,36880
"Female","Aquamarine","Honda","Yes","25/10/2021",52,0.43,64378
"Female","Red","Toyota","No","09/07/2021",55,0.19,17355
"Female","Aquamarine","Mitsubishi","No","03/10/2021",50,0.41,14631
"Female","Blue","Nissan","Yes","15/07/2021",44,0.27,11468
"Female","Red","Bentley","Yes","07/12/2021",34,0.17,56794
"Female","Green","Mercedes-Benz","No","23/08/2021",36,0.22,26141
"Male","Orange","Kia","Yes","01/06/2021",37,0.34,55753
"Male","Maroon","Land Rover","No","05/07/2021",33,0.43,23004
"Male","Maroon","Honda","Yes","06/11/2021",42,0.3,50159
"Female","Indigo","Mercedes-Benz","No","02/02/2021",50,0.35,71176
"Male","Teal","Dodge","Yes","24/12/2021",35,0.17,72198
"Male","Green","Jeep","Yes","02/02/2021",26,0.48,32043
"Female","Green","Ford","Yes","02/04/2021",63,0.43,38897
"Male","Orange","Chevrolet","No","25/08/2021",53,0.25,60040
"Female","Yellow","Mazda","Yes","29/10/2021",46,0.06,11525
"Male","Maroon","Volkswagen","Yes","28/01/2021",25,0.28,37093
"Female","Violet","Ford","Yes","15/05/2021",46,0.24,72793
"Male","Crimson","Ford","Yes","27/11/2021",47,0.26,70875
"Female","Fuscia","Bentley","No","05/08/2021",50,0.12,48763
"Female","Puce","Cadillac","Yes","17/01/2021",53,0.47,58017
"Male","Purple","Mazda","No","02/05/2021",44,0.14,61721
"Female","Aquamarine","Honda","Yes","11/02/2021",44,0.23,71224
"Male","Mauv","Nissan","No","10/04/2021",38,0.39,72540
"Female","Turquoise","Hyundai","No","28/10/2021",58,0.07,50099
"Agender","Teal","Audi","Yes","25/10/2021",42,0.24,42915
"Female","Goldenrod","Pontiac","No","15/10/2021",63,0.05,10920
"Female","Green","Ford","No","09/09/2021",56,0.43,29960
"Male","Aquamarine","Ferrari","No","15/12/2021",54,0.18,10959
"Male","Goldenrod","Acura","Yes","09/07/2021",63,0.41,30195
"Female","Yellow","Lexus","Yes","28/12/2021",51,0.17,72357
"Other","Mauv","Mercury","No","20/05/2021",47,0.06,10045
"Female","Purple","Hyundai","Yes","21/02/2021",60,0.41,13761
"Male","Fuscia","Toyota","No","07/10/2021",42,0.41,17194
"Male","Turquoise","Lexus","Yes","11/07/2021",45,0.3,66880
"Male","Indigo","Ford","No","15/04/2021",50,0.01,36591
"Male","Crimson","Toyota","Yes","27/01/2021",42,0.44,66565
"Female","Goldenrod","Toyota","Yes","16/05/2021",30,0.17,10473
"Female","Mauv","Mitsubishi","No","06/03/2021",35,0.33,60663
"Male","Khaki","Dodge","No","12/04/2021",22,0.27,47785
"Male","Crimson","Cadillac","No","25/09/2021",57,0.37,57111
"Female","Crimson","Toyota","No","31/10/2021",47,0.18,72647
"Female","Crimson","Toyota","No","11/05/2021",58,0.15,19559
"Polygender","Pink","Toyota","Yes","12/12/2021",24,0.01,35756
"Male","Violet","Audi","Yes","21/03/2021",57,0.25,61455
"Male","Crimson","Maserati","No","29/08/2021",58,0.44,62406
"Female","Crimson","Audi","No","26/01/2021",33,0.27,15355
"Male","Red","Cadillac","Yes","20/10/2021",23,0.3,19516
"Male","Violet","Ford","Yes","23/05/2021",33,0.26,27388
"Female","Goldenrod","Lamborghini","Yes","20/11/2021",26,0.37,31427
"Male","Fuscia","BMW","Yes","23/09/2021",29,0.49,37760
"Female","Crimson","Dodge","Yes","27/10/2021",20,0.35,16179
"Agender","Turquoise","Mercedes-Benz","Yes","02/01/2021",34,0.28,48174
"Female","Aquamarine","Cadillac","No","10/01/2021",35,0.37,23541
"Male","Khaki","Acura","No","29/09/2021",32,0.21,28916
"Male","Indigo","Lexus","Yes","25/04/2021",47,0.29,73152
"Female","Orange","Lexus","Yes","22/06/2021",56,0.38,35164
"Female","Puce","Dodge","Yes","09/05/2021",20,0.09,14334
"Male","Turquoise","Toyota","No","30/12/2021",21,0.45,70371
"Male","Yellow","Audi","Yes","20/04/2021",38,0.32,48835
"Female","Khaki","Kia","Yes","14/09/2021",32,0.21,35806
"Male","Yellow","Ford","Yes","07/03/2021",21,0.46,44207
"Female","Fuscia","Buick","No","14/05/2021",22,0.2,33781
"Male","Turquoise","Mercedes-Benz","No","24/12/2021",31,0.32,44988
"Male","Yellow","Pontiac","Yes","06/10/2021",38,0.48,56000
"Male","Goldenrod","Mercedes-Benz","No","04/12/2021",30,0.48,65377
"Female","Indigo","Chevrolet","Yes","18/10/2021",48,0.07,40043
"Male","Maroon","Toyota","Yes","27/03/2021",23,0.48,52577
